ID,name,description
291f625d-82aa-41f9-b62b-5e31efbe11a4,Fresh Meats,"High quality, select items in the Fresh Meats department."
99938224-baae-430f-971c-3ab4fd31ba81,Selected Produce,"High quality, select items in the Selected Produce department."
62b246f9-6171-4f4f-aba0-424095da87c2,Signature Seafood,"High quality, select items in the Signature Seafood department."
7f564ec9-ecb2-4b35-8ccd-4a2762d1d875,Artisanal Snacks,"High quality, select items in the Artisanal Snacks department."
7811fd66-a5d3-42c4-9af9-4278f9ab180f,Local Breads,"High quality, select items in the Local Breads department."
772ffb9f-b590-4543-95dc-f83edc4e67a9,Imported Desserts,"High quality, select items in the Imported Desserts department."
523eb026-71aa-4836-a0e0-b3710cb845ba,Specialty Sauces,"High quality, select items in the Specialty Sauces department."
e8555eeb-ae02-4d1d-bd59-f3183720a8b0,Deluxe Beverages,"High quality, select items in the Deluxe Beverages department."
dffb0d38-1baa-457f-af23-fffcaf23ebd8,Traditional Spices,"High quality, select items in the Traditional Spices department."
0a952b01-b18e-4e09-943f-e5eaec2dbc70,Vintage Oils,"High quality, select items in the Vintage Oils department."
50f6ee48-ec9f-4e2f-8d8a-3338c93db805,Eco-Friendly Extracts,"High quality, select items in the Eco-Friendly Extracts department."
24bb7326-6c35-498f-83f0-49766d404b6e,Diet Beverages,"High quality, select items in the Diet Beverages department."
082337db-4293-4d04-b5ca-3d828ce22b5f,Gluten-Free Condiments,"High quality, select items in the Gluten-Free Condiments department."
a81004fb-1a40-4b17-9e40-4173ccbb5259,Premium Dairy,"High quality, select items in the Premium Dairy department."
ec934529-8a8f-4d46-91f0-cc8de900dcac,Organic Grains,"High quality, select items in the Organic Grains department."
571af0f2-7970-44dc-95ab-ab2acfa9b535,Gourmet Meats,"High quality, select items in the Gourmet Meats department."
c3349fd4-59b6-41e5-9c70-d0869fc2eec9,Fresh Produce,"High quality, select items in the Fresh Produce department."
e472060a-9c29-4c05-895f-7563ceab97b5,Selected Seafood,"High quality, select items in the Selected Seafood department."
cb86c5c9-1ec4-4c95-a01d-44fa5e7e5c5c,Signature Snacks,"High quality, select items in the Signature Snacks department."
15257672-b8f9-42ff-ade6-53182c474c02,Artisanal Breads,"High quality, select items in the Artisanal Breads department."
8592ce2a-9e4f-4766-8303-6beec64879b1,Local Desserts,"High quality, select items in the Local Desserts department."
4ed9168a-34b8-4ae9-a0dd-48386244f1e8,Imported Sauces,"High quality, select items in the Imported Sauces department."
a00b7ecb-7ca2-40ea-ac05-b08baa62564d,Specialty Beverages,"High quality, select items in the Specialty Beverages department."
b89f883d-d938-44ca-bf5a-a13f5b1ad686,Deluxe Spices,"High quality, select items in the Deluxe Spices department."
33fcb344-3a66-4a07-b4d4-8dba737cd71c,Traditional Oils,"High quality, select items in the Traditional Oils department."
66e79093-c9eb-4933-9407-ad78f7fd4d86,Vintage Extracts,"High quality, select items in the Vintage Extracts department."
95b8d288-0d07-4cba-88e0-60c1e1bfc3b0,Eco-Friendly Beverages,"High quality, select items in the Eco-Friendly Beverages department."
cc6e13cf-b2bb-47ce-b918-f334a478fdd7,Diet Condiments,"High quality, select items in the Diet Condiments department."
f5ebd0e1-a197-42d7-ade1-a99e058fdf78,Gluten-Free Confections,"High quality, select items in the Gluten-Free Confections department."
3161dd3d-c64e-4699-a4bc-e613544553fc,Premium Grains,"High quality, select items in the Premium Grains department."
57f856d0-4f5a-428c-b84f-7e1395ef0786,Organic Meats,"High quality, select items in the Organic Meats department."
0f32299a-8de5-40e7-88a1-bc89b0a09373,Gourmet Produce,"High quality, select items in the Gourmet Produce department."
fc303d05-eed5-4da8-9efb-90dc19ce145c,Fresh Seafood,"High quality, select items in the Fresh Seafood department."
25fedab8-5dbe-4a9d-bde0-63fb55458565,Selected Snacks,"High quality, select items in the Selected Snacks department."
567cb6ab-4712-4494-89e6-1be6413fd0bd,Signature Breads,"High quality, select items in the Signature Breads department."
0d842e6a-bd90-4894-bc8f-83d20b723b4e,Artisanal Desserts,"High quality, select items in the Artisanal Desserts department."
3739fdc8-5ecb-4295-ac70-4cf959d88cda,Local Sauces,"High quality, select items in the Local Sauces department."
013dd489-81c8-46bc-9b08-e32111a318ff,Imported Beverages,"High quality, select items in the Imported Beverages department."
cffdcc20-3eba-40ee-8b4f-9a5c28d91613,Specialty Spices,"High quality, select items in the Specialty Spices department."
ad7497c5-7645-4f50-808f-17b1c9d8f9e5,Deluxe Oils,"High quality, select items in the Deluxe Oils department."
8f6aafa0-c5d8-4b43-bbf3-3a58e07a0c0d,Traditional Extracts,"High quality, select items in the Traditional Extracts department."
bf0d3ad0-9cfa-4f12-8992-6b7737fd7cd3,Vintage Beverages,"High quality, select items in the Vintage Beverages department."
7b63dee8-95b6-42b2-8686-a99754f29a4f,Eco-Friendly Condiments,"High quality, select items in the Eco-Friendly Condiments department."
fe1f98ec-d2b2-4f00-b49c-401a4fab4ea5,Diet Confections,"High quality, select items in the Diet Confections department."
d8c1579e-5cf9-41f4-a26a-02db7c41a565,Gluten-Free Dairy,"High quality, select items in the Gluten-Free Dairy department."
3d1d04d0-c2e1-434f-9f21-1d358f213339,Premium Meats,"High quality, select items in the Premium Meats department."
434c075a-c886-4812-893e-de2d6abaa51e,Organic Produce,"High quality, select items in the Organic Produce department."
b64a64f7-f6dc-4500-8fc7-8cc3236556e5,Gourmet Seafood,"High quality, select items in the Gourmet Seafood department."
17fe7605-3755-455e-bfae-b92dd8b61dcf,Fresh Snacks,"High quality, select items in the Fresh Snacks department."
fcd6dd8d-458f-42b3-8da0-ed179b531404,Selected Breads,"High quality, select items in the Selected Breads department."
191b8c4a-a296-4135-abed-3852c335bbdd,Signature Desserts,"High quality, select items in the Signature Desserts department."
6e3d4966-4bca-488d-99f9-260519c94f07,Artisanal Sauces,"High quality, select items in the Artisanal Sauces department."
6af7d00c-3158-4fa7-9a5b-a7f4a8af06b9,Local Beverages,"High quality, select items in the Local Beverages department."
35550fc8-3b25-473e-8371-2eba1db4d3fb,Imported Spices,"High quality, select items in the Imported Spices department."
c9628f80-ac15-443e-a0bb-d55d893b63f8,Specialty Oils,"High quality, select items in the Specialty Oils department."
73900824-8693-4533-a0cc-5f6aee4fba65,Deluxe Extracts,"High quality, select items in the Deluxe Extracts department."
4764dfe7-2ceb-408a-8b7b-10e58028e941,Traditional Beverages,"High quality, select items in the Traditional Beverages department."
0e411bd1-6063-41fe-a231-dd32d647315b,Vintage Condiments,"High quality, select items in the Vintage Condiments department."
85cad067-62d6-4a49-8490-c579d6d7f096,Eco-Friendly Confections,"High quality, select items in the Eco-Friendly Confections department."
df9c9700-cd38-4c22-9e9c-b461518dc69c,Diet Dairy,"High quality, select items in the Diet Dairy department."
3a001db9-5b28-4b1d-beee-6e325697482d,Gluten-Free Grains,"High quality, select items in the Gluten-Free Grains department."
4da5921c-c0f3-4ddc-ac5b-ecf920cac6f2,Premium Produce,"High quality, select items in the Premium Produce department."
61edebb9-ad43-403c-b6f8-4f98e90edf51,Organic Seafood,"High quality, select items in the Organic Seafood department."
07af7f9e-98a4-4710-85d1-3bde2709cfa3,Gourmet Snacks,"High quality, select items in the Gourmet Snacks department."
ab332374-ee7b-4d20-9f7b-bb23ab9fc9ac,Fresh Breads,"High quality, select items in the Fresh Breads department."
acb46b3e-2bdf-4688-a079-ba92cda8732f,Selected Desserts,"High quality, select items in the Selected Desserts department."
4fd8c8c3-33d0-40b4-80f3-ba513cfdd2f1,Signature Sauces,"High quality, select items in the Signature Sauces department."
796cb330-63cc-4d43-8134-31e0fe60538e,Artisanal Beverages,"High quality, select items in the Artisanal Beverages department."
bb1530fd-3686-42f6-a8f0-a112a349be02,Local Spices,"High quality, select items in the Local Spices department."
1621bfa0-11a3-4144-ab29-a066daaf5088,Imported Oils,"High quality, select items in the Imported Oils department."
1c47b132-5cd0-4bb9-b951-8178483d8db3,Specialty Extracts,"High quality, select items in the Specialty Extracts department."
8c891d0c-1a79-416b-b76f-f7de4da423db,Deluxe Beverages,"High quality, select items in the Deluxe Beverages department."
b13a7d82-2709-4a5c-bb3b-8eaf82f54be5,Traditional Condiments,"High quality, select items in the Traditional Condiments department."
d891784a-b5fa-454f-9fcf-c8ff4b2d9d26,Vintage Confections,"High quality, select items in the Vintage Confections department."
03ced746-7a63-4b66-89bf-9cb430fea8d9,Eco-Friendly Dairy,"High quality, select items in the Eco-Friendly Dairy department."
45b92b19-f6c6-4960-8051-6465818fd1eb,Diet Grains,"High quality, select items in the Diet Grains department."
a8f77167-d321-4d4f-a7fa-88d68c03ac70,Gluten-Free Meats,"High quality, select items in the Gluten-Free Meats department."
fad77208-f093-4a21-b8ea-e01e30643a89,Premium Seafood,"High quality, select items in the Premium Seafood department."
63398250-8bf3-4978-9f46-47cd5112841f,Organic Snacks,"High quality, select items in the Organic Snacks department."
6da5fb05-9ba2-4500-8217-1acab39e8d5d,Gourmet Breads,"High quality, select items in the Gourmet Breads department."
9b0abca0-34d4-488e-a236-9d850589ffb5,Fresh Desserts,"High quality, select items in the Fresh Desserts department."
c41abfc2-87a4-4427-8b8e-fcb64fb9988f,Selected Sauces,"High quality, select items in the Selected Sauces department."
8068383b-26e6-45fc-8725-be4f0285ab02,Signature Beverages,"High quality, select items in the Signature Beverages department."
7a1a5e96-ea23-41b6-b751-45f9df9c0728,Artisanal Spices,"High quality, select items in the Artisanal Spices department."
118fa989-c66f-4f28-9051-f82cb3ff62ee,Local Oils,"High quality, select items in the Local Oils department."
ef3a8cee-6ff2-44c8-8539-2c2b798669e7,Imported Extracts,"High quality, select items in the Imported Extracts department."
e4e9b62c-5e11-4bf4-8df1-8909ab3999c0,Specialty Beverages,"High quality, select items in the Specialty Beverages department."
e1f4a14d-5e6e-4f24-ad1b-f91dfd276c87,Deluxe Condiments,"High quality, select items in the Deluxe Condiments department."
b81731f5-6783-487d-adc1-d2cf484fc6e8,Traditional Confections,"High quality, select items in the Traditional Confections department."
a16f0862-288f-4b50-8f1e-dc92163cdf13,Vintage Dairy,"High quality, select items in the Vintage Dairy department."
75c58b15-3355-42a1-b936-ba903edafb49,Eco-Friendly Grains,"High quality, select items in the Eco-Friendly Grains department."
f59c4255-5543-431f-bc9b-904e29b10ff4,Diet Meats,"High quality, select items in the Diet Meats department."
7ec2bd43-d41e-491d-8d64-91288265bf18,Gluten-Free Produce,"High quality, select items in the Gluten-Free Produce department."
4c0c4857-54f1-435e-9777-043baeb2776c,Premium Snacks,"High quality, select items in the Premium Snacks department."
ce6fd4a9-4564-4e04-bf86-3aee733ab994,Organic Breads,"High quality, select items in the Organic Breads department."
3b4e2b37-ad4a-448c-921d-5501f89362c0,Gourmet Desserts,"High quality, select items in the Gourmet Desserts department."
3eccf950-2ae9-49a7-bbb4-f29a387e1c80,Fresh Sauces,"High quality, select items in the Fresh Sauces department."
83b65702-1f31-4222-96c3-c48330e01600,Selected Beverages,"High quality, select items in the Selected Beverages department."
38b8b280-31fd-4900-8e2b-a2fdb52fe9d3,Signature Spices,"High quality, select items in the Signature Spices department."
9b1a28d6-9023-4bb9-8ef7-af3c16be182f,Artisanal Oils,"High quality, select items in the Artisanal Oils department."
cdcd2dae-e207-4398-93c0-3d58bda33078,Local Extracts,"High quality, select items in the Local Extracts department."
0e083a82-bb07-4715-ab70-949b6e4668d5,Imported Beverages,"High quality, select items in the Imported Beverages department."
6aa526ee-7abd-444e-bbea-58cae988759e,Specialty Condiments,"High quality, select items in the Specialty Condiments department."
7ea868f2-a2d5-4ae5-8136-a09a3ae62e32,Deluxe Confections,"High quality, select items in the Deluxe Confections department."
b481476c-208c-4cf9-af99-9d9a99c5b0b1,Traditional Dairy,"High quality, select items in the Traditional Dairy department."
4f9ebb79-dc68-4296-a816-151c9f566b5e,Vintage Grains,"High quality, select items in the Vintage Grains department."
64a7bcc3-9fde-44c7-af91-f5f599ff5ee5,Eco-Friendly Meats,"High quality, select items in the Eco-Friendly Meats department."
2249d9c3-130d-48cf-93eb-e88106b7cae2,Diet Produce,"High quality, select items in the Diet Produce department."
06685654-aae6-458a-b45a-e3f24aff0196,Gluten-Free Seafood,"High quality, select items in the Gluten-Free Seafood department."
8114078c-863e-46b7-997d-8aaef2319afe,Premium Breads,"High quality, select items in the Premium Breads department."
09f8a9f8-1b73-43b6-9ff5-4d81dc7e69a3,Organic Desserts,"High quality, select items in the Organic Desserts department."
a716b957-1a48-49f5-a719-797ee0781326,Gourmet Sauces,"High quality, select items in the Gourmet Sauces department."
3fefe0e9-a781-4ed9-96b0-693c0040a412,Fresh Beverages,"High quality, select items in the Fresh Beverages department."
79bde3f3-3caf-4b58-8422-f0f3fc5c0244,Selected Spices,"High quality, select items in the Selected Spices department."
d4f252eb-6573-4ec9-9196-e704ec8012c3,Signature Oils,"High quality, select items in the Signature Oils department."
94c784c9-b433-4e78-9c4a-d241075daee4,Artisanal Extracts,"High quality, select items in the Artisanal Extracts department."
75bf85e0-4d88-4f55-b47f-2089cff506bb,Local Beverages,"High quality, select items in the Local Beverages department."
560bf084-ae65-4517-bdfd-f747134e3f16,Imported Condiments,"High quality, select items in the Imported Condiments department."
e0ed26b0-9044-4198-90e1-c5f95345b819,Specialty Confections,"High quality, select items in the Specialty Confections department."
0c8d35c5-6d55-4874-aeaf-37dfe82c7042,Deluxe Dairy,"High quality, select items in the Deluxe Dairy department."
c131c98c-00a4-4193-8182-c75555c4a8e9,Traditional Grains,"High quality, select items in the Traditional Grains department."
51ff4285-a58b-46cd-b0d4-0518795af1fe,Vintage Meats,"High quality, select items in the Vintage Meats department."
98b47fc3-c62d-4d4e-9ec7-d53bdf1ea1d8,Eco-Friendly Produce,"High quality, select items in the Eco-Friendly Produce department."
aedbf6fd-c167-4032-9b61-ff167b636ae1,Diet Seafood,"High quality, select items in the Diet Seafood department."
80a4b6fe-f1d5-417d-9560-6536fde0d017,Gluten-Free Snacks,"High quality, select items in the Gluten-Free Snacks department."
e4ae76dd-715b-45a3-92b1-18a0a8a375a9,Premium Desserts,"High quality, select items in the Premium Desserts department."
5889331d-5d07-4ccf-8015-8170d9108bd0,Organic Sauces,"High quality, select items in the Organic Sauces department."
41a7f6ff-2d20-4911-bb69-75563d0191f4,Gourmet Beverages,"High quality, select items in the Gourmet Beverages department."
a0187ff7-2c07-46a1-85c1-9da2d42d77eb,Fresh Spices,"High quality, select items in the Fresh Spices department."
d7e34762-64df-4662-b544-639f07637d4b,Selected Oils,"High quality, select items in the Selected Oils department."
ae1dbdd7-1081-45fb-95df-e4c7a4ecb034,Signature Extracts,"High quality, select items in the Signature Extracts department."
f0d0225b-f01f-4221-b2ec-4f4e6a924729,Artisanal Beverages,"High quality, select items in the Artisanal Beverages department."
091141a8-d41e-4fd7-8f89-64bb7ca39a9e,Local Condiments,"High quality, select items in the Local Condiments department."
f405caee-679b-4427-9429-b3d08f386e65,Imported Confections,"High quality, select items in the Imported Confections department."
2c2f8bd1-eea9-468a-b920-7fdbc3743e1a,Specialty Dairy,"High quality, select items in the Specialty Dairy department."
d3dc980e-3ec1-47b3-8b48-cb5d6d60a228,Deluxe Grains,"High quality, select items in the Deluxe Grains department."
a1bc7ce1-2fab-41b6-aa58-9defaf77c5c0,Traditional Meats,"High quality, select items in the Traditional Meats department."
6a76098c-a74a-4f39-8d97-24ae23292849,Vintage Produce,"High quality, select items in the Vintage Produce department."
c87c3d29-e4be-4fba-ba4c-b79b0a724613,Eco-Friendly Seafood,"High quality, select items in the Eco-Friendly Seafood department."
4c3ea432-3f00-43f0-9db4-f2488ccac803,Diet Snacks,"High quality, select items in the Diet Snacks department."
b861fa4a-f7e1-43a9-9b73-5eb032e43e7e,Gluten-Free Breads,"High quality, select items in the Gluten-Free Breads department."
84b8555c-13e9-4458-90a8-432939ce300c,Premium Sauces,"High quality, select items in the Premium Sauces department."
d24b0ce2-c8a8-4922-b2d7-0e5a71ff850f,Organic Beverages,"High quality, select items in the Organic Beverages department."
c72fafe8-8e97-44bd-be29-52a68b463e73,Gourmet Spices,"High quality, select items in the Gourmet Spices department."
45d43641-bfba-4346-a229-dc938ceafb8c,Fresh Oils,"High quality, select items in the Fresh Oils department."
f8276211-436d-4fc7-a6a7-c2adf9e38db4,Selected Extracts,"High quality, select items in the Selected Extracts department."
c2497581-b8cd-4ebb-96ef-a9c75f395973,Signature Beverages,"High quality, select items in the Signature Beverages department."
2139710a-e914-4ead-8eab-92627b1a4020,Artisanal Condiments,"High quality, select items in the Artisanal Condiments department."
77f62e15-d1d6-4278-9bb8-fd455518fc7f,Local Confections,"High quality, select items in the Local Confections department."
140288a1-73f1-4580-8496-d4f31ebb66e9,Imported Dairy,"High quality, select items in the Imported Dairy department."
a4327e7b-76b4-42d1-860e-45b5429f675a,Specialty Grains,"High quality, select items in the Specialty Grains department."
d5b31b59-2896-417a-880e-a070cfb576d2,Deluxe Meats,"High quality, select items in the Deluxe Meats department."
0a9b073a-1b86-4b91-bce3-74b7bcb86ab8,Traditional Produce,"High quality, select items in the Traditional Produce department."
df9c50b9-c109-4a8f-8db1-3b0cd46f279a,Vintage Seafood,"High quality, select items in the Vintage Seafood department."
d8b2a9bc-789b-4c8a-bee2-ef09b1beeff5,Eco-Friendly Snacks,"High quality, select items in the Eco-Friendly Snacks department."
a21c6444-c267-41a2-9932-ed5ed6cb118a,Diet Breads,"High quality, select items in the Diet Breads department."
5becd0da-0b30-49ed-904d-406463f40e5e,Gluten-Free Desserts,"High quality, select items in the Gluten-Free Desserts department."
26fb7156-00db-4fff-b147-b7bb3252dbee,Premium Beverages,"High quality, select items in the Premium Beverages department."
ba1075fc-0ac5-45e3-becc-3a6864364e76,Organic Spices,"High quality, select items in the Organic Spices department."
804d4755-3758-4ded-98be-16a76eca9bdd,Gourmet Oils,"High quality, select items in the Gourmet Oils department."
8916adc0-04b4-4d37-a6a4-2c0fb8791589,Fresh Extracts,"High quality, select items in the Fresh Extracts department."
c94ca273-db96-45d1-9277-46e96889f26c,Selected Beverages,"High quality, select items in the Selected Beverages department."
5ed79d7a-827a-4416-b6e2-a3a278ee3a5f,Signature Condiments,"High quality, select items in the Signature Condiments department."
5fc3a5c5-485a-4aaa-8667-f42c157ec8c1,Artisanal Confections,"High quality, select items in the Artisanal Confections department."
187cc8b6-e671-41e6-956e-e4c12880530d,Local Dairy,"High quality, select items in the Local Dairy department."
361008a4-5a65-417e-afa6-b3c42bfcc442,Imported Grains,"High quality, select items in the Imported Grains department."
004e6085-b239-451c-bc33-40ff475a11de,Specialty Meats,"High quality, select items in the Specialty Meats department."
e2a8e52d-8707-45df-bf78-3039d1e3ce57,Deluxe Produce,"High quality, select items in the Deluxe Produce department."
68a0fc78-f0b4-444e-a922-84fb3eebec0b,Traditional Seafood,"High quality, select items in the Traditional Seafood department."
7300d64f-19d0-468e-83d6-ffd980d743b4,Vintage Snacks,"High quality, select items in the Vintage Snacks department."
8883cb2d-7365-42be-b7f6-ebd8cb30c6cd,Eco-Friendly Breads,"High quality, select items in the Eco-Friendly Breads department."
13fe3f5e-0e49-4665-9370-a2128bc251cb,Diet Desserts,"High quality, select items in the Diet Desserts department."
906919a9-bd6d-4ea1-9b25-def5036b7098,Gluten-Free Sauces,"High quality, select items in the Gluten-Free Sauces department."
c2d8941f-3cbb-4170-a457-d12323f6be7f,Premium Spices,"High quality, select items in the Premium Spices department."
7ddcb741-12f2-4216-a04a-df90bda25a0a,Organic Oils,"High quality, select items in the Organic Oils department."
ba8f63b9-cf80-4df9-a570-dd1f4817f737,Gourmet Extracts,"High quality, select items in the Gourmet Extracts department."
79eb0af5-fd14-4fd5-a52b-83944b8ac76f,Fresh Beverages,"High quality, select items in the Fresh Beverages department."
fc8bfc2c-6dda-474d-a80c-3b9c13380f05,Selected Condiments,"High quality, select items in the Selected Condiments department."
c1f591e7-be41-4f1a-8bb6-261916a7718e,Signature Confections,"High quality, select items in the Signature Confections department."
03e059bd-9544-48cf-aa7b-6a2ab507e2d5,Artisanal Dairy,"High quality, select items in the Artisanal Dairy department."
55f994f1-4436-4d6c-9d5d-c0410247b61a,Local Grains,"High quality, select items in the Local Grains department."
008286ed-5946-47f5-93a8-f73bfbe4a3c3,Imported Meats,"High quality, select items in the Imported Meats department."
19daeea0-b46f-4a5a-b881-70e44a8421a5,Specialty Produce,"High quality, select items in the Specialty Produce department."
cfaac1c6-4add-4e9b-89be-3c7784e55591,Deluxe Seafood,"High quality, select items in the Deluxe Seafood department."
312cdcdb-937e-43da-b0f7-151f3a13c328,Traditional Snacks,"High quality, select items in the Traditional Snacks department."
7369a356-2a7d-473e-be3e-7b3b4f434a64,Vintage Breads,"High quality, select items in the Vintage Breads department."
be179247-9d24-4f66-9a84-f760c6078c4e,Eco-Friendly Desserts,"High quality, select items in the Eco-Friendly Desserts department."
02384425-f9fc-4188-9451-4e7010992197,Diet Sauces,"High quality, select items in the Diet Sauces department."
da47cdc7-a6e1-4063-8065-f7d74e8bddb6,Gluten-Free Beverages,"High quality, select items in the Gluten-Free Beverages department."
283f1feb-e9c7-455e-8439-3a91d060684d,Premium Oils,"High quality, select items in the Premium Oils department."
eba9ef34-d656-410b-9879-5704af53cc58,Organic Extracts,"High quality, select items in the Organic Extracts department."
ff37f8bd-3897-4924-93cd-385e91ce87fd,Gourmet Beverages,"High quality, select items in the Gourmet Beverages department."
dbf3b6ce-90a1-4a7a-9451-cc060a5beb30,Fresh Condiments,"High quality, select items in the Fresh Condiments department."
45dae2ca-7cc9-428f-a3b3-209e19dbedd2,Selected Confections,"High quality, select items in the Selected Confections department."
1ea77635-88c6-4032-a3fe-d3d873fbe84e,Signature Dairy,"High quality, select items in the Signature Dairy department."
240f1557-eee1-45a4-a3cd-366f6155949c,Artisanal Grains,"High quality, select items in the Artisanal Grains department."
61e2c0a2-8354-4fed-b8af-50793173bd9f,Local Meats,"High quality, select items in the Local Meats department."
376bf167-f6a6-4f1a-b39d-afa47cf822a6,Imported Produce,"High quality, select items in the Imported Produce department."
4325ab0e-c866-4263-bc38-4fa6ef3e54f6,Specialty Seafood,"High quality, select items in the Specialty Seafood department."
0d5fc0ec-b93c-4d30-a89c-d12d0de8cc06,Deluxe Snacks,"High quality, select items in the Deluxe Snacks department."
cbbc9c11-1a7e-49a7-a642-6a33c3e7632c,Traditional Breads,"High quality, select items in the Traditional Breads department."
44a12f57-ad89-4396-ab11-1d441e278547,Vintage Desserts,"High quality, select items in the Vintage Desserts department."
0b667605-b3d4-461a-8db4-039f83f01fdd,Eco-Friendly Sauces,"High quality, select items in the Eco-Friendly Sauces department."
d77e88b6-3f50-4d71-8971-b5ab11ad963c,Diet Beverages,"High quality, select items in the Diet Beverages department."
0360ced1-5ea2-4b05-9f0e-5f6800339f69,Gluten-Free Spices,"High quality, select items in the Gluten-Free Spices department."
9e28cd07-508c-43da-b3f6-ba17f6b72ddd,Premium Extracts,"High quality, select items in the Premium Extracts department."
18b0b0f0-2bf3-46bc-a3df-6056358c64e1,Organic Beverages,"High quality, select items in the Organic Beverages department."
7cee4c7e-e50d-443e-b331-e56b93e2e370,Gourmet Condiments,"High quality, select items in the Gourmet Condiments department."
0af62a8a-9a77-487f-b1c1-8c1977d35a0b,Fresh Confections,"High quality, select items in the Fresh Confections department."
c3dcd6df-0f8f-4a60-a73e-f4957ef8c8f8,Selected Dairy,"High quality, select items in the Selected Dairy department."
a72a8ffb-5c36-4b25-9aff-4f724813673f,Signature Grains,"High quality, select items in the Signature Grains department."
4c4f86b2-b55f-46f4-ac88-84b6b570ce1a,Artisanal Meats,"High quality, select items in the Artisanal Meats department."
57b16f69-97aa-4233-ad7d-365fe751f256,Local Produce,"High quality, select items in the Local Produce department."
08a55707-241c-4591-8073-78b38d9a39e0,Imported Seafood,"High quality, select items in the Imported Seafood department."
5b20d8ef-5130-4eae-8231-880f10504f89,Specialty Snacks,"High quality, select items in the Specialty Snacks department."
3ea7efa1-3af2-469f-8f07-4ea72a30dd16,Deluxe Breads,"High quality, select items in the Deluxe Breads department."
